timestamp,power,power_state,is_phantom_load,is_off,is_on,is_light_use,is_regular_use,time_diff_seconds
2025-05-12 13:51:26.904000+00:00,41.0,light use,False,False,True,True,False,
2025-05-12 14:06:26.904000+00:00,50.3,light use,False,False,True,True,False,900.0
2025-05-12 14:21:26.904000+00:00,16.6,phantom load,True,False,True,False,False,900.0
2025-05-12 14:36:26.904000+00:00,52.4,light use,False,False,True,True,False,900.0
2025-05-12 14:51:26.904000+00:00,53.6,light use,False,False,True,True,False,900.0
2025-05-12 15:06:26.904000+00:00,35.9,light use,False,False,True,True,False,900.0
2025-05-12 15:36:26.904000+00:00,16.4,phantom load,True,False,True,False,False,1800.0
2025-05-12 15:51:26.904000+00:00,18.9,phantom load,True,False,True,False,False,900.0
2025-05-12 16:21:26.904000+00:00,16.7,phantom load,True,False,True,False,False,1800.0
2025-05-12 16:36:26.904000+00:00,17.4,phantom load,True,False,True,False,False,900.0
2025-05-12 16:51:26.904000+00:00,16.5,phantom load,True,False,True,False,False,900.0
2025-05-12 17:06:26.904000+00:00,22.1,phantom load,True,False,True,False,False,900.0
2025-05-12 17:21:26.904000+00:00,19.2,phantom load,True,False,True,False,False,900.0
2025-05-12 17:36:26.904000+00:00,16.0,phantom load,True,False,True,False,False,900.0
2025-05-12 17:51:26.904000+00:00,16.1,phantom load,True,False,True,False,False,900.0
2025-05-12 18:06:26.904000+00:00,16.2,phantom load,True,False,True,False,False,900.0
2025-05-12 18:21:26.904000+00:00,16.3,phantom load,True,False,True,False,False,900.0
2025-05-12 18:36:26.904000+00:00,21.0,phantom load,True,False,True,False,False,900.0
2025-05-12 19:06:26.904000+00:00,16.0,phantom load,True,False,True,False,False,1800.0
2025-05-12 19:21:26.904000+00:00,16.0,phantom load,True,False,True,False,False,900.0
2025-05-12 19:36:26.904000+00:00,17.6,phantom load,True,False,True,False,False,900.0
2025-05-12 19:51:26.904000+00:00,16.0,phantom load,True,False,True,False,False,900.0
2025-05-12 20:06:26.904000+00:00,16.5,phantom load,True,False,True,False,False,900.0
2025-05-12 20:21:26.904000+00:00,18.1,phantom load,True,False,True,False,False,900.0
2025-05-12 20:51:26.904000+00:00,16.1,phantom load,True,False,True,False,False,1800.0
2025-05-12 21:06:26.904000+00:00,16.3,phantom load,True,False,True,False,False,900.0
2025-05-12 21:21:26.904000+00:00,16.0,phantom load,True,False,True,False,False,900.0
2025-05-12 21:36:26.904000+00:00,19.5,phantom load,True,False,True,False,False,900.0
2025-05-12 21:51:26.904000+00:00,22.0,phantom load,True,False,True,False,False,900.0
2025-05-12 22:06:26.904000+00:00,17.6,phantom load,True,False,True,False,False,900.0
2025-05-12 22:21:26.904000+00:00,16.0,phantom load,True,False,True,False,False,900.0
2025-05-12 22:36:26.904000+00:00,18.6,phantom load,True,False,True,False,False,900.0
2025-05-12 22:51:26.904000+00:00,19.3,phantom load,True,False,True,False,False,900.0
2025-05-12 23:06:26.904000+00:00,19.5,phantom load,True,False,True,False,False,900.0
2025-05-12 23:21:26.904000+00:00,19.1,phantom load,True,False,True,False,False,900.0
2025-05-12 23:36:26.904000+00:00,19.1,phantom load,True,False,True,False,False,900.0
2025-05-12 23:51:26.904000+00:00,16.2,phantom load,True,False,True,False,False,900.0
2025-05-13 00:06:26.904000+00:00,20.9,phantom load,True,False,True,False,False,900.0
2025-05-13 00:21:26.904000+00:00,17.7,phantom load,True,False,True,False,False,900.0
2025-05-13 00:36:26.904000+00:00,18.7,phantom load,True,False,True,False,False,900.0
2025-05-13 00:51:26.904000+00:00,16.4,phantom load,True,False,True,False,False,900.0
2025-05-13 01:06:26.904000+00:00,18.6,phantom load,True,False,True,False,False,900.0
2025-05-13 01:21:26.904000+00:00,18.3,phantom load,True,False,True,False,False,900.0
2025-05-13 01:36:26.904000+00:00,16.1,phantom load,True,False,True,False,False,900.0
2025-05-13 01:51:26.904000+00:00,19.1,phantom load,True,False,True,False,False,900.0
2025-05-13 02:06:26.904000+00:00,20.5,phantom load,True,False,True,False,False,900.0
2025-05-13 02:21:26.904000+00:00,16.0,phantom load,True,False,True,False,False,900.0
2025-05-13 02:36:26.904000+00:00,16.2,phantom load,True,False,True,False,False,900.0
2025-05-13 02:51:26.904000+00:00,19.2,phantom load,True,False,True,False,False,900.0
